Timestamp,TargetVariable
40289.65972,0.257102481
40289.66319,0.775186086
40289.66667,0.884161864
40290.39583,0.517922424
40290.39931,0.920900063
40290.40278,0.351599121
40290.40625,0.786656138
40290.40972,0.503939431
40290.41319,0.540038757
40290.41667,0.787057277
40290.42014,0.40901158
40290.42361,0.634554052
40290.42708,0.825598133
40290.43056,0.191623271
40290.43403,0.355794117
40290.4375,0.312333582
40290.44097,0.592523325
40290.44444,0.703687346
40290.44792,0.075315036
40290.45139,0.325113768
40290.45486,0.420377229
40290.45833,0.594356523
40290.46181,0.901179862
40290.46528,0.425750864
40290.46875,0.098595402
40290.47222,0.421382572
40290.47569,0.31519783
40290.47917,0.274779679
40290.48264,0.016923171
40290.48611,0.395128721
40290.48958,0.793416546
40290.49306,0.329842497
40290.49653,0.822590453
40290.5,0.082693073
40290.50347,0.847049256
40290.50694,0.765155436
40290.51042,0.064014298
40290.51389,0.716672848
40290.51736,0.026352631
40290.52083,0.299601004
40290.52431,0.879986009
40290.52778,0.607337576
40290.53125,0.14279387
40290.53472,0.589779184
40290.53819,0.616233352
40290.54167,0.840113471
40290.54514,0.172898402
40290.54861,0.89287927
40290.55208,0.035253753
40290.55556,0.356558587
40290.55903,0.572455147
40290.5625,0.564450822
40290.56597,0.576126457
40290.56944,0.652126978
40290.57292,0.89507659
40290.57639,0.709373764
40290.57986,0.656211296
40290.58333,0.815159519
40290.58681,0.655879196
40290.59028,0.879317922
40290.59375,0.743647307
40290.59722,0.585251285
40290.60069,0.984719056
40290.60417,0.310071501
40290.60764,0.032653875
40290.61111,0.406331577
40290.61458,0.528072391
40290.61806,0.463494971
40290.62153,0.159794827
40290.625,0.974574839
40290.62847,0.727654349
40290.63194,0.856752513
40290.63542,0.862706628
40290.63889,0.903686721
40290.64236,0.868420179
40290.64583,0.066590779
40290.64931,0.693583568
40290.65278,0.497152457
40290.65625,0.405908306
40290.65972,0.350386938
40290.66319,0.154182883
40290.66667,0.620351387
40291.39583,0.336793972
40291.39931,0.627670769
40291.40278,0.586200483
40291.40625,0.823207326
40291.40972,0.139058994
40291.41319,0.84403122
40291.41667,0.035448128
40291.42014,0.956477682
40291.42361,0.912717491
40291.42708,0.432275198
40291.43056,0.435336312
40291.43403,0.317000091
40291.4375,0.732774606
40291.44097,0.866671029
40291.44444,0.483051491
40291.44792,0.659999063
40291.45139,0.726167473
40291.45486,0.555579992
40291.45833,0.922022404
40291.46181,0.717232916
40291.46528,0.796912177
40291.46875,0.699180025
40291.47222,0.141540781
40291.47569,0.395479352
40291.47917,0.992858918
40291.48264,0.351117386
40291.48611,0.781511563
40291.48958,0.274908718
40291.49306,0.780256959
40291.49653,0.195277063
40291.5,0.344116461
40291.50347,0.509305702
40291.50694,0.436814213
40291.51042,0.017588395
40291.51389,0.451922059
40291.51736,0.489813077
40291.52083,0.82632687
40291.52431,0.825551663
40291.52778,0.224108004
40291.53125,0.726339434
40291.53472,0.127905745
40291.53819,0.878084416
40291.54167,0.517790718
40291.54514,0.003801723
40291.54861,0.815316346
40291.55208,0.997973082
40291.55556,0.166564738
40291.55903,0.376320957
40291.5625,0.225498563
40291.56597,0.521750959
40291.56944,0.086296342
40291.57292,0.784428083
40291.57639,0.354951514
40291.57986,0.757383264
40291.58333,0.423887787
40291.58681,0.591668076
40291.59028,0.387907336
40291.59375,0.695977741
40291.59722,0.966464235
40291.60069,0.870526254
40291.60417,0.090833543
40291.60764,0.814812249
40291.61111,0.666089852
40291.61458,0.158006033
40291.61806,0.608744422
40291.62153,0.928093627
40291.625,0.399766123
40291.62847,0.798559654
40291.63194,0.486212866
40291.63542,0.072471982
40291.63889,0.314401322
40291.64236,0.307748321
40291.64583,0.25327807
40291.64931,0.274921948
40291.65278,0.511778847
40291.65625,0.716177999
40291.65972,0.444810628
40291.66319,0.286174035
40291.66667,0.068042155
40294.39583,0.200949836
40294.39931,0.859744712
40294.40278,0.583452163
40294.40625,0.263390278
40294.40972,0.894284884
40294.41319,0.292879177
40294.41667,0.431006723
40294.42014,0.104575743
40294.42361,0.65658998
40294.42708,0.420550659
40294.43056,0.398635388
40294.43403,0.47594294
40294.4375,0.782728102
40294.44097,0.23905764
40294.44444,0.188320714
40294.44792,0.528480375
40294.45139,0.316450519
40294.45486,0.451793963
40294.45833,0.113047327
40294.46181,0.349600765
40294.46528,0.364833165
40294.46875,0.767778182
40294.47222,0.004104324
40294.47569,0.580508599
40294.47917,0.80588355
40294.48264,0.74688347
40294.48611,0.833419713
40294.48958,0.523364502
40294.49306,0.367559627
40294.49653,0.76061276
40294.5,0.422638906
40294.50347,0.349352802
40294.50694,0.219015259
40294.51042,0.122618548
40294.51389,0.019242692
40294.51736,0.483080971
40294.52083,0.5270687
40294.52431,0.155980161
40294.52778,0.225364617
40294.53125,0.082536341
40294.53472,0.173676179
40294.53819,0.915793721
40294.54167,0.624065588
40294.54514,0.139306536
40294.54861,0.088040222
40294.55208,0.955245678
40294.55556,0.063163414
40294.55903,0.311974926
40294.5625,0.131719576
40294.56597,0.060292189
40294.56944,0.360830314
40294.57292,0.255548097
40294.57639,0.722353913
40294.57986,0.971921534
40294.58333,0.64291788
40294.58681,0.126953365
40294.59028,0.684034587
40294.59375,0.40373706
40294.59722,0.571050531
40294.60069,0.552189899
40294.60417,0.228617747
40294.60764,0.603476233
40294.61111,0.373331735
40294.61458,0.068403301
40294.61806,0.509478791
40294.62153,0.643780377
40294.625,0.437795103
40294.62847,0.822759338
40294.63194,0.477083566
40294.63542,0.329811872
40294.63889,0.177001389
40294.64236,0.492044402
40294.64583,0.388784217
40294.64931,0.751003406
40294.65278,0.828318358
40294.65625,0.444256396
40294.65972,0.690336874
40294.66319,0.277129179
40294.66667,0.615470996
40295.39583,0.84087669
40295.39931,0.96468937
40295.40278,0.561489226
40295.40625,0.328078096
40295.40972,0.936624204
40295.41319,0.35856014
40295.41667,0.079634237
40295.42014,0.211805375
40295.42361,0.133296345
40295.42708,0.288081539
40295.43056,0.147397767
40295.43403,0.106887374
40295.4375,0.789746252
40295.44097,0.680948516
40295.44444,0.270124289
40295.44792,0.411677658
40295.45139,0.095535027
40295.45486,0.194540722
40295.45833,0.199852888
40295.46181,0.109742748
