"Month #","White Player #","Black Player #","Score"
101,7,7168,0.603066
101,36,6038,0.000000
101,43,6472,0.000000
101,64,1594,0.000000
101,64,3887,0.000000
101,96,1538,0.000000
101,96,4753,0.128275
101,102,568,0.000000
101,102,2442,0.444568
101,102,8162,0.000000
101,143,145,0.000000
101,143,304,0.000000
101,143,7115,0.000000
101,145,304,0.003592
101,145,2042,0.503667
101,145,2841,0.610574
101,145,4432,0.538902
101,145,6002,0.613909
101,149,2462,0.071815
101,149,7176,0.407191
101,173,4696,0.023087
101,187,392,0.299040
101,187,1286,0.246361
101,187,6406,0.074976
101,193,3352,0.565915
101,193,4465,0.565915
101,193,5598,0.441363
101,193,6018,0.334330
101,201,898,0.000000
101,201,4529,0.376856
101,213,3488,0.000000
101,213,3980,0.000000
101,247,1972,0.000000
101,260,1697,0.250000
101,260,3782,0.250000
101,304,2841,0.606982
101,304,4432,0.535310
101,307,2332,0.000000
101,313,2574,0.000000
101,314,436,0.007120
101,314,1084,0.000000
101,314,2308,0.000000
101,365,1635,0.181216
101,365,1944,0.000000
101,365,2959,0.181350
101,374,2395,0.000000
101,374,3089,0.000000
101,374,5097,0.000000
101,374,8486,0.000000
101,391,5614,0.000000
101,391,5983,0.000000
101,392,1286,0.000000
101,392,6078,0.000000
101,392,6226,0.000000
101,392,6406,0.000000
101,397,3518,0.000000
101,408,1025,0.024971
101,408,1219,0.000000
101,408,2920,0.000000
101,408,4216,0.000000
101,414,2548,0.000000
101,428,1799,0.000000
101,436,314,0.000000
101,436,1084,0.000000
101,436,2308,0.000000
101,437,4907,0.382496
101,447,428,0.143278
101,486,114,0.000000
101,486,3662,0.000000
101,491,3225,0.236762
101,491,3919,0.266378
101,492,7935,0.000000
101,501,1718,0.274386
101,512,1102,0.087680
101,512,5675,0.000000
101,512,6196,0.552563
101,545,193,0.000000
101,545,4465,0.058962
101,545,5598,0.000000
101,562,365,0.000000
101,562,2959,0.000000
101,562,3424,0.000000
101,562,3470,0.000000
101,562,6621,0.000000
101,572,1610,0.377999
101,572,2531,0.200121
101,584,2339,0.227604
101,584,3297,0.000000
101,584,5866,0.234118
101,591,1716,0.000000
101,591,5578,0.000000
101,614,966,0.000000
101,614,3564,0.000000
101,614,8342,0.000000
101,617,4105,0.057255
101,617,6283,0.265483
101,617,8083,0.082469
101,652,1321,0.072162
101,658,2956,0.000000
101,658,4577,0.000000
101,658,7189,0.114079
101,658,8120,0.114079
